hashtag,created_at,text,source,geo,user_id,user_location,user_followers,user_friends,retweet
hoyasaxa,2020-02-16 12:47:36,b'RT @GeorgetownHoops: Highlights from today\xe2\x80\x99s 73-66 win at No. 19/20 Butler courtesy of @McEnearney #HOYASAXA #HOYASZN https://t.co/AeEkQYpc\xe2\x80\xa6',Twitter Web App,,1633040010,,1345,3091,38
hoyasaxa,2020-02-16 12:06:54,b'RT @GeorgetownHoops: Highlights from today\xe2\x80\x99s 73-66 win at No. 19/20 Butler courtesy of @McEnearney #HOYASAXA #HOYASZN https://t.co/AeEkQYpc\xe2\x80\xa6',Twitter for iPhone,,513408974,"Washington, DC",1254,1439,38
hoyasaxa,2020-02-16 12:06:15,b'RT @GeorgetownHoops: Highlights from today\xe2\x80\x99s 73-66 win at No. 19/20 Butler courtesy of @McEnearney #HOYASAXA #HOYASZN https://t.co/AeEkQYpc\xe2\x80\xa6',Twitter for iPhone,,79879902,"grüß Gott , Germany ",948,1918,38
hoyasaxa,2020-02-16 11:28:35,b'RT @GeorgetownHoops: TERRELL ALLEN!! A clutch 3-pointer as the shot clock expires extends the #Hoyas lead. 69-60 with 36 seconds left. #HOY\xe2\x80\xa6',Twitter for Android,,4690084608,,68,251,60
hoyasaxa,2020-02-16 10:08:56,"b'RT @GeorgetownHoops: HOYAS WIN!! HOYAS WIN!! HOYAS WIN!! The #Hoyas take down No. 19/20 Butler on the road, 73-66. \nAllen ties career high\xe2\x80\xa6'",Twitter for Android,,2519309489,,492,1837,95
hoyasaxa,2020-02-16 09:02:02,"b'RT @HoyasMLacrosse: Final score here in Catonsville - #Hoyas 14, UMBC 8\nCarraway - 4 goals, 3 assists\nReilly - 19/24 faceoffs, 12 ground ba\xe2\x80\xa6'",Twitter for iPhone,,179064169,,170,2143,9
hoyasaxa,2020-02-16 08:45:17,b'RT @GeorgetownHoops: Highlights from today\xe2\x80\x99s 73-66 win at No. 19/20 Butler courtesy of @McEnearney #HOYASAXA #HOYASZN https://t.co/AeEkQYpc\xe2\x80\xa6',Twitter for Android,,2984823100,"Washington, DC",26,356,38
hoyasaxa,2020-02-16 07:53:19,b'RT @GeorgetownHoops: TERRELL ALLEN!! A clutch 3-pointer as the shot clock expires extends the #Hoyas lead. 69-60 with 36 seconds left. #HOY\xe2\x80\xa6',Twitter for iPhone,,18080729,"New York, NY",21481,2917,60
hoyasaxa,2020-02-16 07:27:27,"b""RT @GeorgetownHoops: Final stats from today's 73-66 win at No. 19/20 Butler provided by @MorganStanley #HOYASAXA #HOYASZN https://t.co/ymzg\xe2\x80\xa6""",Twitter Web App,,308892843,"Wakefield, MA",1133,2000,11
hoyasaxa,2020-02-16 07:27:17,b'RT @GeorgetownHoops: Highlights from today\xe2\x80\x99s 73-66 win at No. 19/20 Butler courtesy of @McEnearney #HOYASAXA #HOYASZN https://t.co/AeEkQYpc\xe2\x80\xa6',Twitter Web App,,308892843,"Wakefield, MA",1133,2000,38
hoyasaxa,2020-02-16 06:55:42,"b'RT @NYPost_Brazille: Georgetown, down to five scholarship players and without top two players, up 1 at the half at Butler. The Patrick Ewin\xe2\x80\xa6'",Twitter for iPhone,,66480903,"Los Angeles, CA",1273,1660,12
hoyasaxa,2020-02-16 06:26:50,b'RT @GeorgetownHoops: Highlights from today\xe2\x80\x99s 73-66 win at No. 19/20 Butler courtesy of @McEnearney #HOYASAXA #HOYASZN https://t.co/AeEkQYpc\xe2\x80\xa6',Twitter for iPhone,,111040062,Bowie-DC,6826,1259,38
hoyasaxa,2020-02-16 06:12:44,b'RT @GeorgetownHoops: Highlights from today\xe2\x80\x99s 73-66 win at No. 19/20 Butler courtesy of @McEnearney #HOYASAXA #HOYASZN https://t.co/AeEkQYpc\xe2\x80\xa6',Twitter for iPhone,,2206400969,,152,143,38
